hs_code,parent_code,level,item_name,chapter,heading,subheading
290369020,290369,4,－ よう素化誘導体,29,2903,290369
290371000,290371,4,クロロジフルオロメタン（HCFC-22）,29,2903,290371
290372000,290372,4,ジクロロトリフルオロエタン（HCFC-123）,29,2903,290372
290373,2903,3,ジクロロフルオロエタン（HCFC-141、141b）,29,2903,290373
290373010,290373,4,"－ 1,1-ジクロロ-1-フルオロエタン（HCFC-141b）",29,2903,290373
290373090,290373,4,－ その他のもの,29,2903,290373
290374,2903,3,クロロジフルオロエタン（HCFC-142、142b）,29,2903,290374
290374010,290374,4,"－ 1-クロロ-1,1-ジフルオロエタン（HCFC-142b）",29,2903,290374
290374090,290374,4,－ その他のもの,29,2903,290374
290375000,290375,4,ジクロロペンタフルオロプロパン（HCFC-225、225ca、225cb）,29,2903,290375
290376,2903,3,ブロモクロロジフルオロメタン（ハロン-1211）、ブロモトリフルオロメタン（ハロン-1301）及びジブロモテトラフルオロエタン（ハロン-2402）,29,2903,290376
290376010,290376,4,－ ブロモクロロジフルオロメタン（ハロン-1211）,29,2903,290376
290376020,290376,4,－ ブロモトリフルオロメタン（ハロン-1301）,29,2903,290376
290376030,290376,4,－ ジブロモテトラフルオロエタン（ハロン-2402）,29,2903,290376
290377,2903,3,その他のペルハロゲン化誘導体（ふつ素原子及び塩素原子のみを有するものに限る。）,29,2903,290377
290377010,290377,4,－ トリクロロフルオロメタン（CFC-11）,29,2903,290377
290377020,290377,4,－ ジクロロジフルオロメタン（CFC-12）,29,2903,290377
290377030,290377,4,－ クロロトリフルオロメタン（CFC-13）,29,2903,290377
290377040,290377,4,－ ペンタクロロフルオロエタン（CFC-111）,29,2903,290377
290377050,290377,4,－ テトラクロロジフルオロエタン（CFC-112）,29,2903,290377
290377060,290377,4,－ トリクロロトリフルオロエタン（CFC-113）,29,2903,290377
290377070,290377,4,－ ジクロロテトラフルオロエタン（CFC-114）（※）,29,2903,290377
290377080,290377,4,－ クロロペンタフルオロエタン（CFC-115）,29,2903,290377
290377100,290377,4,－ ヘプタクロロフルオロプロパン（CFC-211）,29,2903,290377
290377110,290377,4,－ ヘキサクロロジフルオロプロパン（CFC-212）,29,2903,290377
290377120,290377,4,－ ペンタクロロトリフルオロプロパン（CFC-213）,29,2903,290377
290377130,290377,4,－ テトラクロロテトラフルオロプロパン（CFC-214）,29,2903,290377
290377140,290377,4,－ トリクロロペンタフルオロプロパン（CFC-215）,29,2903,290377
290377150,290377,4,－ ジクロロヘキサフルオロプロパン（CFC-216）,29,2903,290377
290377160,290377,4,－ クロロヘプタフルオロプロパン（CFC-217）,29,2903,290377
290377990,290377,4,－ その他のもの,29,2903,290377
290378000,290378,4,その他のペルハロゲン化誘導体,29,2903,290378
290379,2903,3,その他のもの,29,2903,290379
290379100,290379,4,－ ブロモクロロメタン,29,2903,290379
290379210,290379,4,－－ ジクロロフルオロメタン（HCFC-21),29,2903,290379
290379220,290379,4,－－ クロロテトラフルオロエタン（HCFC-124),29,2903,290379
290379290,290379,4,－－ その他のもの,29,2903,290379
290379910,290379,4,－－ その他のハロゲン化誘導体 （メタン、エタン又はプロパンをふつ素及び臭素を用いてハロゲン化したものに限る。）,29,2903,290379
290379990,290379,4,－－ その他のもの,29,2903,290379
290381000,290381,4,"1,2,3,4,5,6-ヘキサクロロシクロヘキサン（HCH（ISO））（リンデン（ISO、INN）を含む。）",29,2903,290381
290382,2903,3,アルドリン（ISO）、クロルデン（ISO）及びヘプタクロル（ISO）,29,2903,290382
290382100,290382,4,1 クロルデン,29,2903,290382
290382200,290382,4,2 アルドリン及びヘプタクロル,29,2903,290382
290383000,290383,4,マイレックス（ISO）,29,2903,290383
290389,2903,3,その他のもの,29,2903,290389
290389020,290389,4,－ジブロモエチルジブロモシクロヘキサン及びテトラブロモシクロオクタン,29,2903,290389
290389030,290389,4,－ヘキサブロモシクロドデカン（HBCD）,29,2903,290389
290389091,290389,4,－－ ペルフルオロシクロブタン（PFC-c318),29,2903,290389
290389099,290389,4,－－ その他のもの,29,2903,290389
290391000,290391,4,クロロベンゼン、オルト-ジクロロベンゼン及びパラ-ジクロロベンゼン,29,2903,290391
290392000,290392,4,"ヘキサクロロベンゼン（ISO）及びDDT（ISO）（クロフェノタン（INN）、1,1,1-トリクロロ-2,2-ビス(パラ-クロロフェニル)エタン）",29,2903,290392
290393000,290393,4,ペンタクロロベンゼン（ISO）,29,2903,290393
290394000,290394,4,ヘキサブロモビフェニル,29,2903,290394
290399,2903,3,その他のもの,29,2903,290399
290399100,290399,4,－ ペンタブロモエチルベンゼン及びデカブロモジフェニルエタン,29,2903,290399
290399900,290399,4,－ その他のもの,29,2903,290399
2904,29,2,炭化水素のスルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体（ハロゲン化してあるかないかを問わない。）,29,2904,
290410000,290410,4,スルホン基のみを有する誘導体並びにその塩及びエチルエステル,29,2904,290410
290420,2904,3,ニトロ基又はニトロソ基のみを有する誘導体,29,2904,290420
290420100,290420,4,1 ニトロメタン,29,2904,290420
290420200,290420,4,2 その他のもの,29,2904,290420
290431000,290431,4,ペルフルオロオクタンスルホン酸,29,2904,290431
290432000,290432,4,ペルフルオロオクタンスルホン酸アンモニウム,29,2904,290432
290433000,290433,4,ペルフルオロオクタンスルホン酸リチウム,29,2904,290433
290434000,290434,4,ペルフルオロオクタンスルホン酸カリウム,29,2904,290434
290435000,290435,4,その他のペルフルオロオクタンスルホン酸塩,29,2904,290435
290436000,290436,4,ペルフルオロオクタンスルホニルフルオリド,29,2904,290436
290491000,290491,4,トリクロロニトロメタン（クロロピクリン）,29,2904,290491
290499,2904,3,その他のもの,29,2904,290499
290499100,290499,4,1 パラ-ニトロクロロベンゼン,29,2904,290499
290499900,290499,4,2 その他のもの,29,2904,290499
2905,29,2,非環式アルコール並びにそのハロゲン化誘導体、スルホン化誘導体、ニトロ化誘導体及びニトロソ化誘導体,29,2905,
290511000,290511,4,メタノール（メチルアルコール）,29,2905,290511
